_id,timestamp,message.hostname,message.pose.H[0][0],message.pose.H[0][1],message.pose.H[0][2],message.pose.H[0][3],message.pose.H[1][0],message.pose.H[1][1],message.pose.H[1][2],message.pose.H[1][3],message.pose.H[2][0],message.pose.H[2][1],message.pose.H[2][2],message.pose.H[2][3],message.pose.H[3][0],message.pose.H[3][1],message.pose.H[3][2],message.pose.H[3][3],message.pose.R[0][0],message.pose.R[0][1],message.pose.R[0][2],message.pose.R[1][0],message.pose.R[1][1],message.pose.R[1][2],message.pose.R[2][0],message.pose.R[2][1],message.pose.R[2][2],message.pose.attitude[0],message.pose.attitude[1],message.pose.attitude[2],message.pose.attitude_along_z,message.pose.attitude_deg[0],message.pose.attitude_deg[1],message.pose.attitude_deg[2],message.pose.position[0],message.pose.position[1],message.pose.position[2],message.timecode,message.timestamp
68f65b23c658f28f7d09376b,2025-10-20T15:54:11.787Z,raspberrypi,1,-1.3445114054919928e-19,0,0,-1.3445114054919928e-19,1,0,1.0756091243935943e-19,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0,1.0756091243935943e-19,0,33111.86,2025-10-06T07:11:51.862Z
68f65b23c658f28f7d093779,2025-10-20T15:54:11.812Z,raspberrypi,1,-1.3445114054919928e-19,0,0,-1.3445114054919928e-19,1,0,1.0756091243935943e-19,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0,1.0756091243935943e-19,0,33111.9,2025-10-06T07:11:51.907Z
68f65b23c658f28f7d093783,2025-10-20T15:54:11.849Z,raspberrypi,1,-1.3445114054919928e-19,0,0,-1.3445114054919928e-19,1,0,1.0756091243935943e-19,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0,1.0756091243935943e-19,0,33111.94,2025-10-06T07:11:51.944Z
68f65b23c658f28f7d093790,2025-10-20T15:54:11.891Z,raspberrypi,1,-1.3445114054919928e-19,0,0.0005242021234805883,-1.3445114054919928e-19,1,0,-0.0007049615565905553,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0.0005242021234805883,-0.0007049615565905553,0,33111.98,2025-10-06T07:11:51.985Z
68f65b23c658f28f7d09379b,2025-10-20T15:54:11.930Z,raspberrypi,1,-1.3445114054919928e-19,0,0,-1.3445114054919928e-19,1,0,1.0756091243935943e-19,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0,1.0756091243935943e-19,0,33112.02,2025-10-06T07:11:52.025Z
68f65b23c658f28f7d0937a7,2025-10-20T15:54:11.969Z,raspberrypi,1,-1.3445114054919928e-19,0,0.0005242021234805883,-1.3445114054919928e-19,1,0,-0.0007049615565905553,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0.0005242021234805883,-0.0007049615565905553,0,33112.06,2025-10-06T07:11:52.064Z
68f65b24c658f28f7d0937b3,2025-10-20T15:54:12.012Z,raspberrypi,1,-1.3445114054919928e-19,0,0,-1.3445114054919928e-19,1,0,1.0756091243935943e-19,0,0,1,0,0,0,0,1,1,-1.3445114054919928e-19,0,-1.3445114054919928e-19,1,0,0,0,1,0,0,-1.3445114054919928e-19,-1.3445114054919928e-19,0,0,-7.703482904189364e-18,0,1.0756091243935943e-19,0,33112.1,2025-10-06T07:11:52.104Z
68f65b24c658f28f7d0937bf,2025-10-20T15:54:12.049Z,raspberrypi,0.9999270670384653,-0.012077276342471743,0,0.0007632481377124467,0.012077276342471719,0.9999270670384653,0,-0.009137663408314048,0,0,1,0,0,0,0,1,0.9999270670384653,-0.012077276342471743,0,0.012077276342471719,0.9999270670384653,0,0,0,1,0,0,0.01207756996154785,0.01207756996154785,0,0,0.6919937855706717,0.0007632481377124467,-0.009137663408314048,0,33112.14,2025-10-06T07:11:52.144Z
68f65b24c658f28f7d0937cb,2025-10-20T15:54:12.090Z,raspberrypi,0.9999270670384653,-0.012077276342471743,0,0.0007632481377124467,0.012077276342471719,0.9999270670384653,0,-0.009137663408314048,0,0,1,0,0,0,0,1,0.9999270670384653,-0.012077276342471743,0,0.012077276342471719,0.9999270670384653,0,0,0,1,0,0,0.01207756996154785,0.01207756996154785,0,0,0.6919937855706717,0.0007632481377124467,-0.009137663408314048,0,33112.18,2025-10-06T07:11:52.184Z
68f65b24c658f28f7d0937d7,2025-10-20T15:54:12.134Z,raspberrypi,0.9999270670384653,-0.012077276342471743,0,0.0007632481377124467,0.012077276342471719,0.9999270670384653,0,-0.009137663408314048,0,0,1,0,0,0,0,1,0.9999270670384653,-0.012077276342471743,0,0.012077276342471719,0.9999270670384653,0,0,0,1,0,0,0.01207756996154785,0.01207756996154785,0,0,0.6919937855706717,0.0007632481377124467,-0.009137663408314048,0,33112.22,2025-10-06T07:11:52.228Z
