_id,timestamp,message.currents.left,message.currents.right,message.encoders.left,message.encoders.right,message.hostname,message.timecode,message.timestamp
694aa530d34dcd8862091982,2025-12-23T14:20:32.713Z,0,0,-15056,16144,raspberrypi,59412.905,2025-12-17T15:30:12.913Z
694aa531d34dcd8862091984,2025-12-23T14:20:33.092Z,0,0,-15056,16144,raspberrypi,59412.915,2025-12-17T15:30:12.921Z
694aa531d34dcd8862091985,2025-12-23T14:20:33.092Z,0,0,-15056,16144,raspberrypi,59412.926,2025-12-17T15:30:12.929Z
694aa531d34dcd8862091986,2025-12-23T14:20:33.092Z,0,0,-15056,16144,raspberrypi,59412.936,2025-12-17T15:30:12.937Z
694aa531d34dcd8862091989,2025-12-23T14:20:33.267Z,0,0,-15056,16144,raspberrypi,59412.936,2025-12-17T15:30:12.946Z
694aa531d34dcd886209198a,2025-12-23T14:20:33.267Z,0,0,-15056,16144,raspberrypi,59412.947,2025-12-17T15:30:12.954Z
694aa531d34dcd886209198c,2025-12-23T14:20:33.267Z,0,0,-15056,16144,raspberrypi,59412.957,2025-12-17T15:30:12.962Z
694aa531d34dcd886209198d,2025-12-23T14:20:33.268Z,0,0,-15056,16144,raspberrypi,59412.968,2025-12-17T15:30:12.970Z
694aa531d34dcd8862091990,2025-12-23T14:20:33.492Z,0,0,-15056,16144,raspberrypi,59412.968,2025-12-17T15:30:12.978Z
694aa531d34dcd8862091992,2025-12-23T14:20:33.493Z,0,0,-15056,16144,raspberrypi,59412.978,2025-12-17T15:30:12.986Z
694aa531d34dcd8862091993,2025-12-23T14:20:33.493Z,0,0,-15056,16144,raspberrypi,59412.989,2025-12-17T15:30:12.994Z
694aa531d34dcd8862091995,2025-12-23T14:20:33.494Z,0,0,-15056,16144,raspberrypi,59413,2025-12-17T15:30:13.002Z
694aa531d34dcd8862091996,2025-12-23T14:20:33.494Z,0,0,-15056,16144,raspberrypi,59413,2025-12-17T15:30:13.010Z
694aa531d34dcd8862091997,2025-12-23T14:20:33.494Z,0,0,-15056,16144,raspberrypi,59413.01,2025-12-17T15:30:13.018Z
694aa531d34dcd886209199a,2025-12-23T14:20:33.495Z,0,0,-15056,16144,raspberrypi,59413.021,2025-12-17T15:30:13.027Z
694aa531d34dcd886209199b,2025-12-23T14:20:33.495Z,0,0,-15056,16144,raspberrypi,59413.031,2025-12-17T15:30:13.035Z
694aa531d34dcd886209199d,2025-12-23T14:20:33.495Z,0,0,-15056,16144,raspberrypi,59413.042,2025-12-17T15:30:13.043Z
694aa531d34dcd886209199e,2025-12-23T14:20:33.496Z,0,0,-15056,16144,raspberrypi,59413.042,2025-12-17T15:30:13.051Z
694aa531d34dcd88620919a1,2025-12-23T14:20:33.496Z,0,0,-15056,16144,raspberrypi,59413.052,2025-12-17T15:30:13.059Z
694aa531d34dcd88620919a3,2025-12-23T14:20:33.497Z,0,0,-15056,16144,raspberrypi,59413.063,2025-12-17T15:30:13.067Z
694aa531d34dcd88620919a4,2025-12-23T14:20:33.497Z,0,0,-15056,16144,raspberrypi,59413.073,2025-12-17T15:30:13.075Z
694aa531d34dcd88620919a6,2025-12-23T14:20:33.498Z,0,0,-15056,16144,raspberrypi,59413.073,2025-12-17T15:30:13.083Z
694aa531d34dcd88620919a7,2025-12-23T14:20:33.498Z,0,0,-15056,16144,raspberrypi,59413.084,2025-12-17T15:30:13.091Z
694aa531d34dcd88620919aa,2025-12-23T14:20:33.499Z,0,0,-15056,16144,raspberrypi,59413.094,2025-12-17T15:30:13.100Z
694aa531d34dcd88620919ac,2025-12-23T14:20:33.499Z,0,0,-15056,16144,raspberrypi,59413.105,2025-12-17T15:30:13.108Z
694aa531d34dcd88620919ad,2025-12-23T14:20:33.499Z,0,0,-15056,16144,raspberrypi,59413.115,2025-12-17T15:30:13.116Z
694aa531d34dcd88620919af,2025-12-23T14:20:33.500Z,0,0,-15056,16144,raspberrypi,59413.115,2025-12-17T15:30:13.124Z
694aa531d34dcd88620919b0,2025-12-23T14:20:33.500Z,0,0,-15056,16144,raspberrypi,59413.126,2025-12-17T15:30:13.132Z
694aa531d34dcd88620919b4,2025-12-23T14:20:33.501Z,0,0,-15056,16144,raspberrypi,59413.136,2025-12-17T15:30:13.140Z
694aa531d34dcd88620919b5,2025-12-23T14:20:33.502Z,0,0,-15056,16144,raspberrypi,59413.147,2025-12-17T15:30:13.148Z
694aa531d34dcd88620919b6,2025-12-23T14:20:33.502Z,0,0,-15056,16144,raspberrypi,59413.147,2025-12-17T15:30:13.156Z
694aa531d34dcd88620919b8,2025-12-23T14:20:33.502Z,0,0,-15056,16144,raspberrypi,59413.157,2025-12-17T15:30:13.164Z
694aa531d34dcd88620919b9,2025-12-23T14:20:33.502Z,0,0,-15056,16144,raspberrypi,59413.168,2025-12-17T15:30:13.173Z
694aa531d34dcd88620919bc,2025-12-23T14:20:33.503Z,0,0,-15056,16144,raspberrypi,59413.178,2025-12-17T15:30:13.181Z
694aa531d34dcd88620919bd,2025-12-23T14:20:33.503Z,0,0,-15056,16144,raspberrypi,59413.178,2025-12-17T15:30:13.189Z
694aa531d34dcd88620919be,2025-12-23T14:20:33.503Z,0,0,-15056,16144,raspberrypi,59413.189,2025-12-17T15:30:13.197Z
694aa531d34dcd88620919c0,2025-12-23T14:20:33.503Z,0,0,-15056,16144,raspberrypi,59413.2,2025-12-17T15:30:13.205Z
