_id,timestamp,message.hostname,message.pose.H[0][0],message.pose.H[0][1],message.pose.H[0][2],message.pose.H[0][3],message.pose.H[1][0],message.pose.H[1][1],message.pose.H[1][2],message.pose.H[1][3],message.pose.H[2][0],message.pose.H[2][1],message.pose.H[2][2],message.pose.H[2][3],message.pose.H[3][0],message.pose.H[3][1],message.pose.H[3][2],message.pose.H[3][3],message.pose.R[0][0],message.pose.R[0][1],message.pose.R[0][2],message.pose.R[1][0],message.pose.R[1][1],message.pose.R[1][2],message.pose.R[2][0],message.pose.R[2][1],message.pose.R[2][2],message.pose.attitude[0][0],message.pose.attitude[0][1],message.pose.attitude[0][2],message.pose.attitude_along_z,message.pose.attitude_deg[0][0],message.pose.attitude_deg[0][1],message.pose.attitude_deg[0][2],message.pose.position[0][0],message.pose.position[0][1],message.pose.position[0][2],message.timecode,message.timestamp
6932f3a2677aab36f203818b,2025-12-05T15:00:50.345Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.505,2025-11-26T20:22:33.506Z
6932f3a2677aab36f2038193,2025-12-05T15:00:50.709Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.536,2025-11-26T20:22:33.547Z
6932f3a2677aab36f203819b,2025-12-05T15:00:50.710Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.578,2025-11-26T20:22:33.587Z
6932f3a2677aab36f20381a2,2025-12-05T15:00:50.711Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.621,2025-11-26T20:22:33.625Z
6932f3a2677aab36f20381aa,2025-12-05T15:00:50.712Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.663,2025-11-26T20:22:33.665Z
6932f3a2677aab36f20381b2,2025-12-05T15:00:50.714Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.705,2025-11-26T20:22:33.706Z
6932f3a2677aab36f20381ba,2025-12-05T15:00:50.717Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.736,2025-11-26T20:22:33.745Z
6932f3a2677aab36f20381c2,2025-12-05T15:00:50.719Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.778,2025-11-26T20:22:33.787Z
6932f3a2677aab36f20381ca,2025-12-05T15:00:50.720Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.821,2025-11-26T20:22:33.824Z
6932f3a2677aab36f20381d2,2025-12-05T15:00:50.721Z,raspberrypi,1,-1.8019319628016332e-17,0,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,0,1,0,0,0,0,1,1,-1.8019319628016332e-17,0,-1.8019319628016332e-17,1.0000000000000002,0,0,0,1,0,0,-1.801931962801633e-17,-1.8019319628016332e-17,0,0,-1.0324309643825802e-15,0,0,0,76953.863,2025-11-26T20:22:33.868Z
