_id,timestamp,message.currents.left,message.currents.right,message.encoders.left,message.encoders.right,message.hostname,message.timecode,message.timestamp
694aa4f0446f6baaf8019232,2025-12-23T14:19:28.035Z,0,0,-8643,11252,raspberrypi,59348.231,2025-12-17T15:29:08.241Z
694aa4f0446f6baaf8019234,2025-12-23T14:19:28.376Z,0,0,-8643,11252,raspberrypi,59348.242,2025-12-17T15:29:08.249Z
694aa4f0446f6baaf8019235,2025-12-23T14:19:28.376Z,0,0,-8643,11252,raspberrypi,59348.252,2025-12-17T15:29:08.257Z
694aa4f0446f6baaf8019237,2025-12-23T14:19:28.376Z,0,0,-8643,11252,raspberrypi,59348.263,2025-12-17T15:29:08.265Z
694aa4f0446f6baaf8019239,2025-12-23T14:19:28.573Z,0,0,-8643,11252,raspberrypi,59348.263,2025-12-17T15:29:08.273Z
694aa4f0446f6baaf801923b,2025-12-23T14:19:28.742Z,0,0,-8643,11252,raspberrypi,59348.273,2025-12-17T15:29:08.281Z
694aa4f0446f6baaf801923d,2025-12-23T14:19:28.743Z,0,0,-8643,11252,raspberrypi,59348.284,2025-12-17T15:29:08.290Z
694aa4f0446f6baaf801923e,2025-12-23T14:19:28.743Z,0,0,-8643,11252,raspberrypi,59348.294,2025-12-17T15:29:08.298Z
694aa4f0446f6baaf8019240,2025-12-23T14:19:28.743Z,0,0,-8643,11252,raspberrypi,59348.305,2025-12-17T15:29:08.306Z
694aa4f0446f6baaf8019242,2025-12-23T14:19:28.744Z,0,0,-8643,11252,raspberrypi,59348.305,2025-12-17T15:29:08.314Z
694aa4f0446f6baaf8019244,2025-12-23T14:19:28.744Z,0,0,-8643,11252,raspberrypi,59348.315,2025-12-17T15:29:08.322Z
694aa4f0446f6baaf8019246,2025-12-23T14:19:28.745Z,0,0,-8643,11252,raspberrypi,59348.326,2025-12-17T15:29:08.330Z
694aa4f0446f6baaf8019247,2025-12-23T14:19:28.745Z,0,0,-8643,11252,raspberrypi,59348.336,2025-12-17T15:29:08.338Z
694aa4f0446f6baaf8019249,2025-12-23T14:19:28.745Z,0,0,-8643,11252,raspberrypi,59348.336,2025-12-17T15:29:08.346Z
694aa4f0446f6baaf801924c,2025-12-23T14:19:28.746Z,0,0,-8643,11252,raspberrypi,59348.347,2025-12-17T15:29:08.355Z
694aa4f0446f6baaf801924d,2025-12-23T14:19:28.746Z,0,0,-8643,11252,raspberrypi,59348.357,2025-12-17T15:29:08.363Z
694aa4f0446f6baaf801924f,2025-12-23T14:19:28.746Z,0,0,-8643,11252,raspberrypi,59348.368,2025-12-17T15:29:08.371Z
694aa4f0446f6baaf8019250,2025-12-23T14:19:28.747Z,0,0,-8643,11252,raspberrypi,59348.378,2025-12-17T15:29:08.379Z
694aa4f0446f6baaf8019252,2025-12-23T14:19:28.747Z,0,0,-8643,11252,raspberrypi,59348.378,2025-12-17T15:29:08.387Z
694aa4f0446f6baaf8019254,2025-12-23T14:19:28.747Z,0,0,-8643,11252,raspberrypi,59348.389,2025-12-17T15:29:08.395Z
694aa4f0446f6baaf8019256,2025-12-23T14:19:28.748Z,0,0,-8643,11252,raspberrypi,59348.4,2025-12-17T15:29:08.403Z
694aa4f0446f6baaf8019258,2025-12-23T14:19:28.748Z,0,0,-8643,11252,raspberrypi,59348.41,2025-12-17T15:29:08.411Z
694aa4f0446f6baaf8019259,2025-12-23T14:19:28.748Z,0,0,-8643,11252,raspberrypi,59348.41,2025-12-17T15:29:08.419Z
694aa4f0446f6baaf801925b,2025-12-23T14:19:28.749Z,0,0,-8643,11252,raspberrypi,59348.421,2025-12-17T15:29:08.428Z
694aa4f0446f6baaf801925d,2025-12-23T14:19:28.749Z,0,0,-8643,11252,raspberrypi,59348.431,2025-12-17T15:29:08.436Z
694aa4f0446f6baaf8019260,2025-12-23T14:19:28.750Z,0,0,-8643,11252,raspberrypi,59348.442,2025-12-17T15:29:08.444Z
694aa4f0446f6baaf8019261,2025-12-23T14:19:28.750Z,0,0,-8643,11252,raspberrypi,59348.442,2025-12-17T15:29:08.452Z
694aa4f0446f6baaf8019262,2025-12-23T14:19:28.751Z,0,0,-8643,11252,raspberrypi,59348.452,2025-12-17T15:29:08.460Z
